Rating,Title,Review
5,Highly recommended,From the delivery to installation everything is excellent. Quality of washing machine is top-notch.
5,Excellent,Easy to use simple and effective
5,Fabulous!,"After one month of using a very good washing machine not facing any issue,
Recommended to my friends and relatives."
5,Mind-blowing purchase,"Nice Product, Value For Money.."
5,Fabulous!,Excellent product. Go for it.
5,Highly recommended,"Nice product with IoT. You can control the machine with mobile. Elegant design, and good performance.

Delivery was quick and installation was also done by Flipkart."
5,Must buy!,"Superb,one month experience, samsung eco bubbles 8kg go for it,less noise, washing quality is terrific,full storage 60ml -90ml detergent liquid is enough,Inox grey colour is nice, almost 80% drying full complete circle, clothes are without wrinkles than hand wash."
4,Delightful,"It is a washing expert and full of advanced technologies.its ecobubble technology is wonderful,uses less amount of detergent but creates bubbles to make the cloth new like clean.you can manually select the temperature,spin and rinsing time and you can also select the washing mode by using the smart things app and it's blackish grey look gives it a dashing look.you can't help looking at it.the only cone is that it cannot take much load to be more specific it cannot arrange the clothes properly before starting it's final spin and as a result of it ,it shakes.as it is a direct drive machine it makes little noise while washing but during final spin it starts shaking."
4,Pretty good,"I strongly recommend you all to not to buy wifi model.
Through wifi you can only control the program, nothing else.
You need to go to switch on the machine, start of machine after selecting program is also manual.

My expectations as a wifi model is- that i just need to put clothes in and on the main switch rest all like play the machine , selection of programme, on off the machine from machine not from switch board.

Wifi is waste just waste in this. Just go for the without wifi model and save extra money."
4,Really Nice,Best product in this range
4,Good choice,"Good product, rat mesh quality is very bad"
3,Decent product,"The wifi connectivity is useless, it doesn't start through mobile"
3,Good,While start of rinse there will be high vibration for 10 seconds.
5,Simply awesome,"This machine is super powerful, front load washers are way superior than the top load washers.

Its weight is around 70 kg whereas the top load weighs around 31 kg. It's a freaking Jet when it comes to performance, choose front load any day rather than the top load.

Also I have washed a double bed heavy blanket in this 12 kg one and it was a cake walk for this machine."
5,Terrific,"You can go with your eye shut.
Good performance till date have used most functions and does the job well.
AI does good job by suggesting our preferred wash cycles after a week of usage."
5,Wonderful,"Overall a great buy from samsung. Used to top load machines but this front load performs better than top load with less noise and some additional features. Better for 3-4 person family. 8kg machine can easily fit 10-15 clothes at a time. Card offers are good as its available all time.

Pros:
Noise free compared to other machines.
Better wash and added features with hygiene steam.

Cons:
Inlet valve might have been bit long.
Rat mesh quality could have been better.
Wifi enabled features are not upto mark."
5,Classy product,Best
5,Excellent,"Superb design so silent work
Cloths Washing quality is good
Over all amazing washing machine"
5,Worth every penny,Overall good
5,Perfect product!,"Less noise and less water consumption
I"
5,Worth every penny,"Excellent product. Saving lots of time, money and energy. It's fun now to wash the clothes with this latest technology. It gives relaxation and peace of mind. Thanks to Samsung technology."
4,Wonderful,"I'm writing this after 4 month of usage it's a wonderful machine.

Pros-
Cleans any type of dirty clothes
Low electricity consumption
Easy to operate (ladies will get hang of it once they get demo)
Value for money product
Can operate from mobile

Cons-
It produces some noise (not a deal breaker though)
It's recommended to use liquid which is costly
Water wastage

Overall - Just go for it."
4,Pretty good,Bottom cover is made of plastic which can be bend easily.
4,Value-for-money,"Product good, delivery good,demo seduled31st may,dome done on30 may.he explain everything is good.i appreciate him and provided company."
4,Worth the money,Nice
4,Worth the money,Good product
4,Worth the money,"While delivering the item, the product was damaged.

Otherwise it was such a nice product."
4,Good choice,"Product was Good,, But Delivery and installation was worst"
4,Good quality product,Touch expensive but good mone
4,Wonderful,Thanks flipkart for safely delivering the product. The machine is awesome...
4,Very Good,"**Overall Impression:** I am extremely satisfied with my purchase of the Samsung 8 kg washing machine. It combines generous capacity, energy efficiency, and a variety of wash cycles, all wrapped up in a sleek and user-friendly design. If you're in the market for a reliable and efficient washing machine, this model is definitely worth considering."
4,Wonderful,Nice washing machine by samsung.....
4,Wonderful,Very Good Product.. Sofar Happy with the performance and nice washing quality
5,Fabulous!,"My mother's age is nearing 60 now.
Seeing her get tired from washing clothes at this age makes my heart ache.

I had been planning to buy a washing machine for my mother for a long time, but due to voltage issues in our area, I could not buy one earlier.

Now that the voltage problem has been resolved, I have finally purchased this as a gift for my mother; to ease her burden.

I chose this one because it's a future-proof machine; Wi-Fi enabled and fully controllable through the Samsung SmartThings app."
5,Great product,"Flipkart therdparty service very poor, But Today morning I call Samsung customer support and there customer support team very helpful and few hours ago visit Samsung technician and he solved issue and how to use this machine and showed his entire demo. Thank you Samsung customer support team."
5,Hated it!,No one cones to insulation how can I use
5,Excellent,"Samsung washing machine is very great degein, front looking is beautiful and good washing."
5,Great product,Good
5,Perfect product!,Nice washing machine with price
5,Highly recommended,"It is one of the best washing machine I ever use since 20 years, very good quality and function"
5,Terrific purchase,Only Thing i will say is just buy it. It is the best. Smart technology is really helpful.
5,Awesome,very good washing machine good working very easy to use ￼
5,Terrific,Value for money
5,Classy product,Best performance it will take little extra time but it's okay 👍
5,Awesome,Very good product.
5,Highly recommended,"Great product from samsung and installation is good
Flipkart always provides great offers"
5,Classy product,As expected....very less noise and cleans deeply. Looks like a expensive one. Happy with samsung.
5,Terrific,Good
5,Highly recommended,The product is nice and upto the expectations.
5,Brilliant,"I washed the king size winter blanket unless it takes very less water, and cleaned awsome. Machine takes very less amount of water for sure. If anyone have water problem please go for it. This machine is full cherry on top ❤lovely."
5,Excellent,"The product was good, best offer I got, workings fine"
5,Just wow!,Writing review after use more than a month. Excellent wash quality in one wash.
5,Highly recommended,Product experience excellent but delivery experience is horrible.
5,Super!,Very good and it's my second time purchase
5,Perfect product!,Superb performance
5,Terrific purchase,Best Washing Machine
5,Brilliant,After using g a month I am writing this review. The product is worth for its value. Till now it is working fine and we face no issue with it. Using it for daily and all types of clothes.
5,Great product,Working fine till now. It's been 4 months
5,Terrific purchase,Performance is excellent 👌
5,Perfect product!,Very nice product at this price range
5,Simply awesome,Superb
5,Worth every penny,Excellent Product Quality
5,Must buy!,Great product
5,Perfect product!,Full satisfied
5,Best in the market!,Nice product 👌 Good Design
5,Mind-blowing purchase,Nice pic
5,Wonderful,Very nice product value for money
5,Mind-blowing purchase,Awesome product
5,Great product,Great product👌 Always Samsung 💕
5,Wonderful,Used this for 15 days Washing quality is good its intial stage will update it after 3 months
5,Highly recommended,"Excellent product, no noise, no vibration while cleaning and small vibration at spinning (that's Normal for washing machine)"
5,Terrific,Worthy product.
5,Excellent,Best price
5,Highly recommended,Great pr
5,Terrific purchase,Awesome pro
5,Best in the market!,Good
5,Brilliant,Machine working is very good. I am totally satisfied by this product. Washing quality of clothes are also good. There is no need of pre hand washing to clothes. Ai tecnology works. It's totally full of value for money.
5,Awesome,"Super Product

🚚 person is good and hard worker"
5,Terrific,"Writing this review after almost 15 days of use. Buy stand first and foremost requirment.
U can bargain with service engineer. Very less sound while washing. Little bit of sound while spinning at 1400 rpm, which is ok and all washing machine does make that sound.
Performance is quite good. Weight is good, so it does not wobble too much, for which i was worried initially. But all good and everyone can buy it. Features are good and it also removes stains from collar, which i had not expected. There is also a 15 minute wash cycle, prolonged cycles r also there. Drum clean, drum dry all is there. So 9 out of 10 from my side."
5,Highly recommended,"Good performance, I like child lock option and totally its good product worth for money, thank you"
5,Highly recommended,Good machine
5,Terrific,Very excellent product and silent operation any all very good feature with pre loded program
5,Worth every penny,"Writing this after 15 day use... Nice priduct, minimum sound, good service, better quality then LG।। Because I already use LG"
5,Terrific,"Machine is excellent, no noise as such..."
5,Fabulous!,Good
5,Worth every penny,Good
5,Worth every penny,"My review after 20 days, excellent and very good product from Samsung and more laundries with time also AI control can operate easily with mobile. No noise very cool and good looking."
5,Wonderful,Good product
5,Fabulous!,Got this washing machine for 25k during BBD.. excellent machine. This machine is very silent and have many handful features that can be totally controlled via app on the phone.. cleanes really well.. excellent product by Samsung. Value for money totally
5,Terrific,Product was good . Performance is very satisfying. Scilent in operation. We will get notification through mobile when washing is completed . The only thing i feel is .. it is a wifi enabled device but On and Off and start the washing cycle is working at machine only . There is nothing much use with wifi . Overall product is good .
5,Wonderful,Perfect for 5 members
5,Brilliant,"Good , Value for money"
5,Super!,excellent value for money
5,Super!,Product is very good service is very low
5,Classy product,I Am Happy Thanks Flipkart
5,Brilliant,Product is awesome.....Go for it
5,Simply awesome,"Super product
Value for money
Easy to use
Thanks Flipkart Delivery Next day.but Installation and demo to take 5 days (Technician communication very very bad)"
5,Mind-blowing purchase,Good
5,Simply awesome,"Excellent purchase ...
Till now running smoothly and creating less noise...
I will give my final verdict after one month of use so stay tuned..."
5,Fabulous!,Thanks Flipkart...❤
5,Must buy!,Nice Product . Value for money
5,Must buy!,Best washing machine... noiseless sturdy..but inlet pipe is very short...
5,Perfect product!,"Perfect companion for my home, does the job!"
5,Mind-blowing purchase,Value for money
1,Don't waste your money,Product is making loud rattling noise
1,Very poor,"Genuine review:

Samsung 8.0 kg , the quality of drum is very poor. very light. Not so strong . When knock on the drum, the sound itself speaks of low quality. I had 7.5 kg MARQ front load washing machine. Very robust, drum strong, good build quality. Outer front body got rust with time. It ran 5 years. 2 times per day. 365 days for 5 years.

The door nut and bolt and its fixation with the machine body is of poor quality. If by mistake if you open the door with jolt/ by force, to its maximum opening, the door will unpluck and will come out in your hand. Feels like this.

If by mistake, you are walking and collides with the already open gate at opposite, the door will get unpluck easily and fall on floor. Very cheap quality material.

Buttons available are also not so smooth.

The door lock knob is also very cheap.

Overall, The materials used is of low/cheap quality to compensate with 20 years motor warranty. Adding new features+warranty+low in price/budget= balancing with cheap drum and materials.

Handle with care.
Will review after installation of product and washing the clothes .

One suggestion: Which ever product you want to buy on flipkart, first go in shop and check its drum quality and buttons etc. and decide and purchase.
I guess but not sure, the company makes two types of product 1. for shops. good quality and 2. for online sale. average quality.May be also online product is of low quality with low rate. Shop price is high, may be product quality is good.
I have purchased, so i will not return now.

By look the product looks very attractive. For first time user, they will love the product. Those who have already used other washing machine of good quality, and then purchase these products, they dont like it .

However, online provides middle classes people to buy at budgetary level."
3,Nice,Waste water intake problem
3,Does the job,"All about buy it for wifi oprations that can operate remotely from anywhere, but it's not like that needs physical operation.Disappointment for that."
3,Working Fine,"After using this washing machine for few days, I found out that AI part is mostly gimmick. I am using basic feature to wash my clothes"
3,Fair,The display flicker frequently and sometimes got blank after one-month of use.didnt expect from samsung.similar issue found on other customers
3,Just okay,Make to much noise
3,Decent product,Product design and performance is impressive. The worst thing is happened during the installation. The installation person does not even aware about the machine. The guy told my family that the machine do jog facilitate with warm water and hygiene steam 😄
3,Just okay,The machine was vibrating when dry mode is on
3,Fair,It's not up to the mark
3,Good,"Good but whenever power or water get interrupted, washing cycle starts again from starting. Colour cloths getting dull."
3,Fair,It's very good product
3,Good,Washing time sounds not good
3,Fair,Noise is heavy compared to IFB...
3,Just okay,mAchiNe was Good but Samsung service and installation worst...realy bad experience with samsung customercare ...till date no one visit for InstallaTIon after a LoNg time waiT myself inStallEd And Use..kindly report this Bad experience With samsubG CompaNy..i hated
4,Delightful,Great product but No usecase of AI even control from app can be better.
4,Good quality product,Fastest delivery by Flipkart little bit delay on installation demo. Product is good design is awesome.
4,Very Good,"Overall the Machine is very good for small families, with multiple wash modes. The Inlet pipe provided by Samsung is small hence if the washing machine is placed far from the water source, it is advisable to buy extra length. The Wash Quality is good and I have tried normal and winter clothes."
4,Good choice,Good
4,Pretty good,In this machine everything is okay apart from this the program is in built which is given Sometimes it needs to be customised like 60 degree Celsius and 20 minutes so this type of customisation one option or mode is not available but from that everything is okay.
5,Fabulous!,"The product is very good.
The delivery was fast.
The installation was also fast. But the technician is not that
knowledgeable. Overall thanks to flipkart and the team."
